q	phi	n_nr	rank_minus1	is_max	V_minus1	argmax_m	V_argmax	margin
3	2	1	1	1	0.452916	1	0.452916	inf
7	6	3	1	1	3.731077	3	3.731077	0.726933
11	10	5	1	1	11.545808	5	11.545808	1.505633
19	18	9	1	1	55.396814	9	55.396814	6.474052
23	22	11	1	1	54.558031	11	54.558031	10.393985
31	30	15	1	1	107.312969	15	107.312969	19.815177
43	42	21	1	1	171.329376	21	171.329376	16.902875
47	46	23	1	1	195.923295	23	195.923295	19.041123
59	58	29	1	1	270.718588	29	270.718588	21.312563
67	66	33	1	1	326.101441	33	326.101441	31.996317
71	70	35	1	1	357.548133	35	357.548133	45.013580
79	78	39	1	1	418.485147	39	418.485147	46.925389
83	82	41	1	1	434.066285	41	434.066285	56.960824
103	102	51	1	1	591.097538	51	591.097538	67.874589
107	106	53	1	1	626.393876	53	626.393876	57.985536
127	126	63	1	1	785.239457	63	785.239457	78.607236
131	130	65	1	1	808.205477	65	808.205477	84.180317
139	138	69	1	1	892.517307	69	892.517307	94.348619
151	150	75	1	1	983.597835	75	983.597835	84.541338
163	162	81	1	1	1095.558857	81	1095.558857	95.869430
167	166	83	1	1	1137.320457	83	1137.320457	100.689115
179	178	89	1	1	1219.869645	89	1219.869645	106.096255
191	190	95	1	1	1329.337823	95	1329.337823	148.066453
199	198	99	1	1	1426.218211	99	1426.218211	132.865179
211	210	105	1	1	1542.938074	105	1542.938074	149.445486
223	222	111	1	1	1642.971428	111	1642.971428	123.395426
227	226	113	1	1	1689.084021	113	1689.084021	153.534152
239	238	119	1	1	1779.957367	119	1779.957367	203.492866
251	250	125	1	1	1895.256995	125	1895.256995	171.070788
263	262	131	1	1	2020.835786	131	2020.835786	186.629920
271	270	135	1	1	2103.782405	135	2103.782405	170.364815
283	282	141	1	1	2213.659509	141	2213.659509	175.550689
307	306	153	1	1	2454.182271	153	2454.182271	196.564189
311	310	155	1	1	2481.937467	155	2481.937467	278.303673
331	330	165	1	1	2703.212900	165	2703.212900	220.704444
347	346	173	1	1	2850.251577	173	2850.251577	223.788554
359	358	179	1	1	2972.625202	179	2972.625202	290.493470
367	366	183	1	1	3065.535288	183	3065.535288	240.687888
379	378	189	1	1	3205.454519	189	3205.454519	254.101892
383	382	191	1	1	3239.709183	191	3239.709183	282.332510
419	418	209	1	1	3600.513980	209	3600.513980	274.227076
431	430	215	1	1	3729.737310	215	3729.737310	352.027483
439	438	219	1	1	3843.398057	219	3843.398057	271.535370
443	442	221	1	1	3843.677531	221	3843.677531	299.096782
463	462	231	1	1	4081.966134	231	4081.966134	293.178124
467	466	233	1	1	4129.503102	233	4129.503102	325.292263
479	478	239	1	1	4246.797627	239	4246.797627	465.846841
487	486	243	1	1	4334.310332	243	4334.310332	305.690227
491	490	245	1	1	4371.976025	245	4371.976025	339.695171
499	498	249	1	1	4483.595351	249	4483.595351	333.150297
503	502	251	1	1	4508.912494	251	4508.912494	360.958461
523	522	261	1	1	4736.740488	261	4736.740488	320.863083
547	546	273	1	1	5022.389082	273	5022.389082	366.484836
563	562	281	1	1	5187.297234	281	5187.297234	399.101088
571	570	285	1	1	5272.662385	285	5272.662385	365.043766
587	586	293	1	1	5467.450865	293	5467.450865	401.340345
599	598	299	1	1	5591.465232	299	5591.465232	498.212911
607	606	303	1	1	5689.549313	303	5689.549313	391.010536
619	618	309	1	1	5830.164822	309	5830.164822	418.763248
631	630	315	1	1	5944.148113	315	5944.148113	387.140359
643	642	321	1	1	6090.523025	321	6090.523025	405.940734
647	646	323	1	1	6144.646952	323	6144.646952	478.911442
659	658	329	1	1	6255.791345	329	6255.791345	434.585489
683	682	341	1	1	6547.164360	341	6547.164360	471.447321
691	690	345	1	1	6661.562689	345	6661.562689	444.625802
719	718	359	1	1	6963.518232	359	6963.518232	668.315827
727	726	363	1	1	7064.397028	363	7064.397028	480.173392
739	738	369	1	1	7201.713562	369	7201.713562	472.525583
743	742	371	1	1	7254.517370	371	7254.517370	559.242578
751	750	375	1	1	7347.551999	375	7347.551999	487.568970
787	786	393	1	1	7777.827651	393	7777.827651	509.652851
811	810	405	1	1	8074.254212	405	8074.254212	522.565626
823	822	411	1	1	8207.068339	411	8207.068339	539.673068
827	826	413	1	1	8262.491824	413	8262.491824	561.058544
839	838	419	1	1	8403.432431	419	8403.432431	791.842447
859	858	429	1	1	8646.671116	429	8646.671116	562.696556
863	862	431	1	1	8682.526404	431	8682.526404	628.264478
883	882	441	1	1	8919.676577	441	8919.676577	579.634999
887	886	443	1	1	8978.630896	443	8978.630896	656.213681
907	906	453	1	1	9227.727062	453	9227.727062	596.220103
911	910	455	1	1	9265.349400	455	9265.349400	758.696163
919	918	459	1	1	9363.542853	459	9363.542853	583.110114
947	946	473	1	1	9693.806999	473	9693.806999	641.988426
967	966	483	1	1	9973.935574	483	9973.935574	644.370107
971	970	485	1	1	9998.176571	485	9998.176571	665.736045
983	982	491	1	1	10167.834970	491	10167.834970	734.199186
991	990	495	1	1	10256.956844	495	10256.956844	627.171245
1019	1018	509	1	1	10591.400406	509	10591.400406	692.919363
1031	1030	515	1	1	10730.214841	515	10730.214841	839.989377
1039	1038	519	1	1	10841.065083	519	10841.065083	669.236777
1051	1050	525	1	1	10999.576533	525	10999.576533	659.082952
1063	1062	531	1	1	11119.109445	531	11119.109445	662.605666
1087	1086	543	1	1	11443.866074	543	11443.866074	714.447628
1091	1090	545	1	1	11497.595207	545	11497.595207	739.856945
1103	1102	551	1	1	11623.150641	551	11623.150641	817.036695
1123	1122	561	1	1	11892.908527	561	11892.908527	732.587518
1151	1150	575	1	1	12243.096999	575	12243.096999	1143.472230
1163	1162	581	1	1	12420.064637	581	12420.064637	810.189732
1171	1170	585	1	1	12515.332524	585	12515.332524	776.672942
1187	1186	593	1	1	12712.544703	593	12712.544703	824.784174
1223	1222	611	1	1	13144.975527	611	13144.975527	903.443564
1231	1230	615	1	1	13266.436748	615	13266.436748	783.181065
1259	1258	629	1	1	13634.170486	629	13634.170486	861.316182
